total_rows
92
id	stat_name	normalized_cost	design_notes
-1	ARMOR	1.040	Scaled logarithmically (~1 budget per 5 Armor).
0	MANA	0.000	ITEM_MOD_MANA; excluded from stat budgets.
3	ITEM_MOD_AGILITY	1.250	Primary DPS stat; slightly reduced from 1.28 after v3 averages.
4	ITEM_MOD_STRENGTH	1.000	Primary melee stat; balanced with Stamina.
5	ITEM_MOD_INTELLECT	1.020	Primary caster stat; near-equal to Stamina.
6	ITEM_MOD_SPIRIT	0.850	Regeneration stat; low impact.
7	ITEM_MOD_STAMINA	1.000	Normalization baseline for all stat costs.
12	ITEM_MOD_DEFENSE_SKILL_RATING	0.840	Core tank stat; mild diminishing returns.
13	ITEM_MOD_DODGE_RATING	0.970	Defensive avoidance; high marginal value.
15	ITEM_MOD_BLOCK_RATING	0.630	Low impact; complements Defense.
31	ITEM_MOD_HIT_RATING	1.000	Baseline offensive rating; parity with Stamina.
32	ITEM_MOD_CRIT_RATING	1.000	Balanced offensive rating.
35	ITEM_MOD_RESILIENCE_RATING	0.700	PvP mitigation; mid-tier cost.
36	ITEM_MOD_HASTE_RATING	0.900	Endgame scaling; slightly cheaper after v3 analysis.
37	ITEM_MOD_EXPERTISE_RATING	1.360	Avoidance control; intentionally expensive.
38	ITEM_MOD_ATTACK_POWER	0.420	Primary melee offense; efficient scaling.
42	ITEM_MOD_SPELL_DAMAGE_DONE	0.450	Legacy caster stat; mirrors Attack Power efficiency.
44	ITEM_MOD_ARMOR_PENETRATION_RATING	0.900	Rounded adjustment from v2 values.
45	ITEM_MOD_SPELL_POWER	0.880	Standard caster power; consistent with empirical data.
id	stat_name	normalized_cost	design_notes
2844	ITEM_MOD_HIT_RATING	4.000	Socket bonus: +8 Hit Rating
2861	ITEM_MOD_DEFENSE_SKILL_RATING	1.260	Socket bonus: +3 Defense Rating
2862	ITEM_MOD_RESILIENCE_RATING	1.050	Socket bonus: +3 Resilience Rating
2863	ITEM_MOD_INTELLECT	1.530	Socket bonus: +3 Intellect
2866	ITEM_MOD_SPIRIT	1.275	Socket bonus: +3 Spirit
2867	ITEM_MOD_RESILIENCE_RATING	0.700	Socket bonus: +2 Resilience Rating
2869	ITEM_MOD_INTELLECT	2.040	Socket bonus: +4 Intellect
2871	ITEM_MOD_DODGE_RATING	1.940	Socket bonus: +4 Dodge Rating
2876	ITEM_MOD_DODGE_RATING	1.455	Socket bonus: +3 Dodge Rating
2877	ITEM_MOD_AGILITY	2.500	Socket bonus: +4 Agility
2878	ITEM_MOD_RESILIENCE_RATING	1.400	Socket bonus: +4 Resilience Rating
2879	ITEM_MOD_STRENGTH	1.500	Socket bonus: +3 Strength
2880	ITEM_MOD_HIT_RATING	1.500	Socket bonus: +3 Hit Rating
2882	ITEM_MOD_STAMINA	3.000	Socket bonus: +6 Stamina
2890	ITEM_MOD_SPIRIT	1.700	Socket bonus: +4 Spirit
2893	ITEM_MOD_AGILITY	1.875	Socket bonus: +3 Agility
2895	ITEM_MOD_STAMINA	2.000	Socket bonus: +4 Stamina
2908	ITEM_MOD_HIT_RATING	2.000	Socket bonus: +4 Hit Rating
2926	ITEM_MOD_DODGE_RATING	0.970	Socket bonus: +2 Dodge Rating
2927	ITEM_MOD_STRENGTH	2.000	Socket bonus: +4 Strength
